9855|570|FR
189|5|FR
925|900|FR
36|3|FR
25|93|FR
61|50|FR
9807|9|FR
2292|9821|FR
779|0899|FR
4|9|FR
60|6|FR
515|8706|FR
2|27|FR
144|0133|FR
442|2024|FR
233|8875|FR
658|916|FR
1|3|FR
7590|94|FR
1186|70|FR
82|26|FR
8|23|FR
74|649|FR
48|0391|FR
7788|4241|FR
8|891|FR
3|40|FR
8118|997|FR
10|816|FR
65|32|FR
99|7771|FR
5|5599|FR
44|905|FR
410|9|FR
7281|258|FR
886|661|FR
40|16|FR
716|98|FR
421|567|FR
19|6488|FR
2|7|FR
9384|05|FR
9524|217|FR
1|2|FR
40|9628|FR
3999|9637|FR
2|1924|FR
12|35|FR
87|750|FR
13|0600|FR
5212|1508|FR
61|3|FR
4531|317|FR
1|184|FR
23|50|FR
37|9448|FR
90|5|FR
523|84|FR
872|45|FR
3|4192|FR
166|8309|FR
18|0286|FR
477|03|FR
6|910|FR
2150|849|FR
484|0320|FR
8|772|FR
8292|252|FR
1|6299|FR
237|0|FR
61|5|FR
38|7|FR
7033|95|FR
814|1|FR
5698|0|FR
809|340|FR
6899|2255|FR
137|8424|FR
1|9|FR
93|582|FR
103|8|FR
1471|00|FR
36|05|FR
1|9711|FR
2665|5|FR
587|0|FR
559|11|FR
1681|61|FR
705|9|FR
3379|35|FR
6|116|FR
4|693|FR
70|52|FR
4713|37|FR
2|25|FR
825|47|FR
5995|34|FR
926|440|FR
6|3105|FR
4|77|FR
6495|97|FR
77|0525|FR
11|66|FR
2|9|FR
3940|7|FR
63|873|FR
8017|8|FR
2|848|FR
1476|8903|FR
1868|290|FR
9|11|FR
41|74|FR
2262|805|FR
6|2412|FR
60|23|FR
18|223|FR
874|2|FR
1280|3471|FR
7109|805|FR
63|7|FR
7|10|FR
13|3032|FR
5|08|FR
5921|556|FR
424|9|FR
7|08|FR
849|739|FR
793|3|FR
9|715|FR
19|9606|FR
1|4767|FR
9615|84|FR
59|02|FR
56|41|FR
56|31|FR
1421|26|FR
47|5579|FR
29|1|FR
8258|8131|FR
555|687|FR
938|739|FR
5|6865|FR
3|847|FR
3163|634|FR
5|2|FR
4|571|FR
22|5|FR
126|7|FR
87|1|FR
480|12|FR
247|743|FR
9435|89|FR
95|9|FR
1|464|FR
340|7519|FR
120|3|FR
4|0287|FR
2|36|FR
7549|47|FR
10|614|FR
86|7215|FR
33|748|FR
2659|62|FR
6879|688|FR
7722|4|FR
27|3057|FR
524|548|FR
286|685|FR
1983|2|FR
909|61|FR
6|776|FR
92|0149|FR
1|4|FR
3592|8000|FR
2|0652|FR
45|2838|FR
9|9116|FR
140|0|FR
7|9757|FR
1|0|FR
410|5604|FR
398|5439|FR
2162|1|FR
8|71|FR
57|51|FR
7996|413|FR
93|710|FR
1|556|FR
2|59|FR
118|8007|FR
31|4944|FR
6271|12|FR
1|98|FR
68|7292|FR
775|45|FR
886|6|FR
657|4|FR
91|50|FR
35|36|FR
9345|4|FR
13|09|FR
766|94|FR
4|1|FR
48|8|FR
9|697|FR
9|8310|FR
2|763|FR
6453|600|FR
9434|9433|FR
11|49|FR
717|6|FR
8561|3701|FR
6|7|FR
6281|19|FR
7432|822|FR
755|7463|FR
2|1971|FR
81|51|FR
82|9|FR
81|5678|FR
8|5413|FR
1|390|FR
4670|9|FR
8|1685|FR
6854|4951|FR
7238|2|FR
37|92|FR
660|3555|FR
470|105|FR
9|3806|FR
3|57|FR
4|0|FR
329|7|FR
2|91|FR
8|66|FR
2929|2094|FR
233|305|FR
43|694|FR
73|45|FR
232|9731|FR
77|5|FR
8696|3306|FR
4218|4|FR
18|639|FR
7866|42|FR
17|736|FR
1410|2|FR
528|137|FR
76|9120|FR
53|20|FR
2726|2414|FR
13|312|FR
12|320|FR
159|370|FR
541|63|FR
1|9698|FR
617|3349|FR
6073|99|FR
3|593|FR
16|6532|FR
655|09|FR
6|9|FR
67|0592|FR
9|46|FR
85|8|FR
100|81|FR
1939|340|FR
914|0|FR
85|766|FR
1285|648|FR
67|966|FR
3772|866|FR
2|28|FR
325|771|FR
5320|7|FR
7084|31|FR
8|71|FR
6603|7062|FR
8989|0|FR
33|281|FR
111|631|FR
29|88|FR
560|346|FR
23|9|FR
5|26|FR
52|43|FR
7424|2|FR
5|48|FR
943|924|FR
36|9|FR
823|36|FR
449|23|FR
79|6|FR
925|6|FR
7|0|FR
13|2|FR
1|5832|FR
50|9|FR
2|9265|FR
4289|653|FR
9565|9|FR
661|866|FR
3|9|FR
4585|5|FR
799|6324|FR
1389|69|FR
819|36|FR
12|0|FR
6696|5499|FR
1709|0|FR
9648|9|FR
2|451|FR
59|9|FR
8|4|FR
787|10|FR
1|23|FR
78|923|FR
1742|5|FR
6367|90|FR
2245|718|FR
3|234|FR
3546|1241|FR
9270|008|FR
12|6817|FR
1629|4|FR
5|438|FR
706|6|FR
8229|0|FR
6|32|FR
240|6022|FR
9618|977|FR
7|13|FR
7622|6|FR
8770|075|FR
59|4|FR
274|81|FR
1131|7|FR
5882|1|FR
6|5039|FR
1819|8997|FR
86|762|FR
283|07|FR
9|161|FR
4813|375|FR
1166|548|FR
62|317|FR
19|5688|FR
34|7|FR
771|86|FR
5486|458|FR
71|7|FR
7382|201|FR
4799|6|FR
52|907|FR
5961|84|FR
4351|2|FR
370|18|FR
4|87|FR
3229|6906|FR
130|681|FR
2287|4072|FR
479|768|FR
453|773|FR
4|0902|FR
76|2|FR
6555|868|FR
3|30|FR
1304|9902|FR
60|8|FR
37|2996|FR
4|4952|FR
8812|593|FR
8|6820|FR
7166|1564|FR
806|82|FR
52|38|FR
4|0299|FR
258|1791|FR
981|0|FR
4012|8|FR
6|7|FR
1|0974|FR
30|82|FR
9|0|FR
48|02|FR
7078|45|FR
7|404|FR
1973|95|FR
1849|7451|FR
8528|0941|FR
1|1493|FR
9827|8|FR
428|9|FR
3|8|FR
4|7899|FR
49|6|FR
931|0|FR
267|2589|FR
111|8969|FR
3|0763|FR
691|76|FR
247|09|FR
223|2426|FR
573|36|FR
6144|8833|FR
829|9|FR
5|1586|FR
7|39|FR
410|4187|FR
6746|776|FR
352|8325|FR
4576|509|FR
907|10|FR
75|0499|FR
609|0997|FR
21|13|FR
90|397|FR
718|8|FR
5842|77|FR
518|4|FR
6191|8680|FR
921|11|FR
96|7|FR
228|953|FR
48|1865|FR
89|6240|FR
31|878|FR
867|2|FR
1|068|FR
6|7|FR
1973|4|FR
2|181|FR
13|28|FR
2|43|FR
1872|964|FR
2815|1|FR
613|96|FR
4|201|FR
7821|933|FR
215|347|FR
9|452|FR
8842|582|FR
3061|9|FR
29|5548|FR
7312|31|FR
931|979|FR
117|780|FR
198|6170|FR
5287|908|FR
8767|746|FR
565|4|FR
68|638|FR
28|240|FR
1313|5|FR
6|8|FR
83|602|FR
71|02|FR
1|75|FR
78|80|FR
6|438|FR
306|60|FR
8670|528|FR
2213|731|FR
386|884|FR
1|2|FR
102|35|FR
16|47|FR
422|2947|FR
69|815|FR
553|47|FR
6|8439|FR
3492|6|FR
6176|865|FR
2|5|FR
9310|9995|FR
2832|1355|FR
3164|53|FR
713|4|FR
2635|27|FR
74|670|FR
4|5554|FR
1279|2805|FR
3900|5|FR
1|8|FR
6776|6652|FR
738|7|FR
5|0|FR
11|9212|FR
2100|5338|FR
679|55|FR
5|9809|FR
1395|1575|FR
7499|1|FR
6|131|FR
918|8|FR
6|4|FR
6|2|FR
982|7|FR
17|085|FR
668|5|FR
51|2092|FR
29|17|FR
219|8|FR
1|1681|FR
278|7602|FR
7|5|FR
78|007|FR
3|59|FR
5|16|FR
6|08|FR
723|1644|FR
16|3030|FR
521|4749|FR
1|12|FR
2037|0197|FR
6084|2|FR
682|6|FR
8|37|FR
422|3568|FR
50|240|FR
68|391|FR
111|61|FR
3|4|FR
6|9188|FR
9|5044|FR
4|0915|FR
3713|1434|FR
47|1|FR
51|8319|FR
4248|3050|FR
56|32|FR
13|4635|FR
269|4712|FR
9354|315|FR
3|81|FR
289|2|FR
28|26|FR
609|3789|FR
3905|8416|FR
14|41|FR
8321|69|FR
152|3|FR
105|1|FR
56|778|FR
32|78|FR
9380|38|FR
4459|5856|FR
26|0|FR
7285|9|FR
7839|45|FR
45|9242|FR
7|0|FR
9956|754|FR
3|0188|FR
2|133|FR
3571|2246|FR
2181|560|FR
40|06|FR
24|576|FR
4|58|FR
61|46|FR
420|0166|FR
7|07|FR
351|01|FR
8786|903|FR
819|0893|FR
5|309|FR
222|5|FR
57|49|FR
8049|4|FR
8283|308|FR
1873|86|FR
575|1928|FR
4|4|FR
4|704|FR
3303|4|FR
949|02|FR
736|49|FR
1116|107|FR
5|0411|FR
5840|37|FR
59|346|FR
391|7|FR
41|022|FR
36|258|FR
55|6|FR
4|4882|FR
509|3751|FR
62|8|FR
423|2943|FR
8682|286|FR
317|1|FR
73|209|FR
54|42|FR
2|599|FR
5102|719|FR
1|830|FR
75|8492|FR
2562|2093|FR
5604|68|FR
4875|125|FR
2|4|FR
1|6|FR
2|9647|FR
